Increments,Abscissas in µm,Raw data,Smoothed data,Raw - Smoothed data,Smoothed data*Gain + Offset
498,3240.240,38482,32614.853,5867.147,38747.012
499,3246.747,36983,31485.636,5497.364,37301.615
500,3253.253,35659,30468.679,5190.321,35999.909
501,3259.760,34527,29581.988,4945.012,34864.945
502,3266.266,33828,28858.017,4969.983,33938.262
503,3272.773,33109,28250.436,4858.564,33160.558
504,3279.279,32580,27777.325,4802.675,32554.976
505,3285.786,32221,27435.419,4785.581,32117.337
506,3292.292,32003,27219.637,4783.363,31841.136
507,3298.799,31906,27125.904,4780.096,31721.157
508,3305.305,31915,27151.465,4763.535,31753.876
509,3311.812,32027,27296.162,4730.838,31939.087
510,3318.318,32490,27582.304,4907.696,32305.350
511,3324.825,32862,27967.056,4894.944,32797.831
512,3331.331,33400,28471.653,4928.347,33443.715
513,3337.838,34128,29095.655,5032.345,34242.439
514,3344.344,35054,29832.487,5221.513,35185.583
515,3350.851,36167,30668.258,5498.742,36255.370
516,3357.357,37443,31582.635,5860.365,37425.773
517,3363.864,38840,32549.088,6290.912,38662.833
518,3370.370,40568,33558.701,7009.299,39955.138
519,3376.877,42003,34513.222,7489.778,41176.924
520,3383.383,43337,35402.781,7934.219,42315.560
521,3389.890,44485,36190.578,8294.422,43323.940
522,3396.396,45385,36845.609,8539.391,44162.380
523,3402.903,46015,37346.915,8668.085,44804.052
524,3409.409,46397,37680.251,8716.749,45230.721
525,3415.916,46561,37846.689,8714.311,45443.762
526,3422.422,46530,37844.035,8685.965,45440.365
527,3428.929,46323,37684.347,8638.653,45235.964
528,3435.435,45912,37373.099,8538.901,44837.567
529,3441.942,45272,36921.181,8350.819,44259.112
530,3448.448,44414,36346.458,8067.542,43523.466
531,3454.955,43158,35657.500,7500.500,42641.600
532,3461.461,42019,34942.863,7076.137,41726.865
533,3467.968,40873,34218.411,6654.589,40799.566
534,3474.474,39793,33518.457,6274.543,39903.625
535,3480.981,38843,32873.763,5969.237,39078.417
536,3487.487,38068,32310.294,5757.706,38357.176
537,3493.994,37371,31836.761,5534.239,37751.054
538,3500.501,37009,31497.478,5511.522,37316.771
539,3507.007,36810,31286.753,5523.247,37047.044
540,3513.514,36736,31200.537,5535.463,36936.687
541,3520.020,36771,31242.175,5528.825,36989.984
542,3526.527,36920,31411.510,5508.490,37206.732
543,3533.033,37213,31712.289,5500.711,37591.730
544,3539.540,37720,32150.259,5569.741,38152.331
545,3546.046,38434,32720.297,5713.703,38881.981
546,3552.553,39353,33408.846,5944.154,39763.323
547,3559.059,40449,34194.862,6254.138,40769.424
548,3565.566,41813,35066.612,6746.388,41885.263
549,3572.072,43139,35963.611,7175.389,43033.422
550,3578.579,44507,36867.111,7639.889,44189.902
